State Superintendent of Public Instruction ,"","","","","","","","","",""
"",NON ,NON ,NON ,NON,"","","","","",""
t,"","","","","","","","","",""
T taol oVt  se saC,e g ie m gh re rGnU d ,aPu l ra r a vY,d To l edlz teS ,iz lEa th e te r bsa rm uB,atringtecS,"","","","",""
Adams County  606 , 157 , 36 , 60 , 353 ,"","","","","", 0
"Ashland County  1,039 ", 158 , 41 , 68 , 772 ,"","","","","", 0
Barron County  882 , 189 , 38 , 68 , 586 ,"","","","","", 1
"Bayfield County  1,153 ", 133 , 45 , 53 , 920 ,"","","","","", 2
"Brown County  11,458 "," 2,529 ", 724 ," 1,397 "," 6,728 ","","","","","", 80
Buffalo County  371 , 55 , 16 , 29 , 271 ,"","","","","", 0
Burnett County  817 , 158 , 47 , 84 , 528 ,"","","","","", 0
"Calumet County  2,275 ", 637 , 100 , 172 ," 1,362 ","","","","","", 4
"Chippewa County  1,390 ", 318 , 84 , 158 , 825 ,"","","","","", 5
"Clark County  1,393 ", 274 , 48 , 124 , 944 ,"","","","","", 3
"Columbia County  1,926 ", 408 , 103 , 186 ," 1,224 ","","","","","", 5
Crawford County  639 , 168 , 18 , 40 , 413 ,"","","","","", 0
"Dane County  36,122 "," 6,953 "," 2,119 "," 2,873 "," 24,056 ","","","","","", 121
"Dodge County  2,153 ", 708 , 72 , 223 ," 1,144 ","","","","","", 6
"Door County  1,817 ", 331 , 94 , 212 ," 1,173 ","","","","","", 7
"Douglas County  1,119 ", 191 , 67 , 61 , 799 ,"","","","","", 1
"Dunn County  1,135 ", 228 , 51 , 87 , 767 ,"","","","","", 2
"Eau Claire County  2,138 ", 502 , 69 , 110 ," 1,445 ","","","","","", 12
"Florence County  1,629 ", 295 , 163 , 264 , 905 ,"","","","","", 2
"Fond du Lac County  3,299 "," 1,151 ", 134 , 341 ," 1,661 ","","","","","", 12
Forest County  399 , 67 , 20 , 41 , 271 ,"","","","","", 0
State Superintendent of Public Instruction ,"","","","","","","","",""
"",NON ,NON ,"",NON ,NON,"","","",""
 tsasC,"","","","","","","","",""
lVte o,eim ggreh,l rra ,"",d z e ll,berths te a,rngi,"","",""
Tta o ,Gre dn U,au a PvY,"",oTde tS,lEiz am r uB,cSatte,"","",""
"Grant County  1,368 ", 264 , 66 ,"", 122 , 913 ,"","","", 3
Green County  772 , 168 , 46 ,"", 72 , 483 ,"","","", 3
Green Lake County  721 , 269 , 31 ,"", 58 , 362 ,"","","", 1
Iowa County  742 , 117 , 48 ,"", 80 , 495 ,"","","", 2
Iron County  333 , 50 , 28 ,"", 20 , 232 ,"","","", 3
Jackson County  540 , 135 , 14 ,"", 37 , 354 ,"","","", 0
"Jefferson County  2,215 ", 649 , 247 ,"", 167 ," 1,152 ","","","", 0
Juneau County  968 , 240 , 48 ,"", 100 , 580 ,"","","", 0
"Kenosha County  5,338 "," 1,091 ", 315 ,"", 458 ," 3,467 ","","","", 7
Kewaunee County  848 , 202 , 59 ,"", 116 , 450 ,"","","", 21
"LaCrosse County  9,369 "," 2,230 ", 376 ,"", 791 ," 5,894 ","","","", 78
Lafayette County  596 , 97 , 25 ,"", 46 , 426 ,"","","", 2
"Langlade County  1,474 ", 204 , 72 ,"", 166 ," 1,026 ","","","", 6
Lincoln County  780 , 122 , 35 ,"", 105 , 518 ,"","","", 0
"Manitowoc County  6,771 "," 1,403 ", 326 ,"", 859 ," 4,173 ","","","", 10
"Marathon County  8,652 "," 1,359 ", 364 ,""," 1,239 "," 5,675 ","","","", 15
"Marinette County  1,781 ", 404 , 105 ,"", 195 ," 1,070 ","","","", 7
Marquette County  538 , 158 , 22 ,"", 49 , 307 ,"","","", 2
Menominee County  78 , 6 , 7 ,"", 4 , 61 ,"","","", 0
"Milwaukee County  26,456 "," 7,033 ", 902 ,""," 1,458 "," 16,881 ","","","", 182
"Monroe County  1,281 ", 238 , 80 ,"", 144 , 811 ,"","","", 8
"",ts,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",To ta  lVtoa Ces,Gr g eg,"","","",nUre iem h d ,"","","","","",u aPal ,"",vYa a rr ,"","",oTd d ,"",tSlze l e ,"","",lEab e th iz ,"","","",uBmas r te r ,"","","","","",tteringcS,"","","",""
Oconto County ," 1,454 ","","","","", 327 ,"","","","","","","", 109 ,"","","","", 168 ,"","","","","","", 839 ,"","","","","","","","","", 11
Oneida County ," 1,305 ","","","","", 211 ,"","","","","","","","","","", 56 ,"", 129 ,"","","","","","", 904 ,"","","","","","","","","", 5
Outagamie County ," 13,742 "," 3,640 ","","","","","","","","","","","", 608 ,"",""," 1,272 ","","","",""," 8,176 ","","","","","","","","","","","","","", 46
Ozaukee County ," 2,489 "," 1,078 ","","","","","","","","","","","","","","", 73 ,"", 133 ,"",""," 1,201 ","","","","","","","","","","","","","", 4
Pepin County , 196 ,"","","","","","","","", 20 ,"","","","","","", 8 ,"","","","", 18 ,"","","", 149 ,"","","","","","","","","", 1
Pierce County , 697 ,"","","","", 132 ,"","","","","","","","","","", 35 ,"","","","", 48 ,"","","", 481 ,"","","","","","","","","", 1
Polk County ," 1,037 ","","","","", 223 ,"","","","","","","","","","", 62 ,"","","","", 78 ,"","","", 673 ,"","","","","","","","","", 1
Portage County ," 2,374 ","","","","", 358 ,"","","","","","","", 106 ,"","","","", 211 ,"",""," 1,689 ","","","","","","","","","","","","","", 10
Price County , 640 ,"","","","", 108 ,"","","","","","","","","","", 23 ,"","","","", 51 ,"","","", 458 ,"","","","","","","","","", 0
Racine County ," 5,398 "," 1,508 ","","","","","","","","","","","", 298 ,"","","","", 370 ,"",""," 3,207 ","","","","","","","","","","","","","", 15
Richland County , 540 ,"","","","", 133 ,"","","","","","","","","","", 22 ,"","","","", 34 ,"","","", 351 ,"","","","","","","","","", 0
Rock County ," 4,125 ","","","","", 797 ,"","","","","","","", 196 ,"","","","", 210 ,"",""," 2,899 ","","","","","","","","","","","","","", 23
Rusk County , 483 ,"","","","","","","","", 81 ,"","","","","","", 18 ,"","","","", 38 ,"","","", 345 ,"","","","","","","","","", 1
Sauk County ," 1,675 ","","","","", 358 ,"","","","","","","","","","", 80 ,"", 128 ,"",""," 1,104 ","","","","","","","","","","","","","", 5
Sawyer County , 662 ,"","","","","","","","", 99 ,"","","","","","", 32 ,"","","","", 51 ,"","","", 478 ,"","","","","","","","","", 2
Shawano County ," 1,207 ","","","","", 318 ,"","","","","","","","","","", 64 ,"", 106 ,"","","","","","", 718 ,"","","","","","","","","", 1
Sheboygan County ," 8,213 "," 1,996 ","","","","","","","","","","","", 423 ,"","","","", 945 ,"",""," 4,822 ","","","","","","","","","","","","","", 27
St. Croix County ," 1,080 ","","","","", 222 ,"","","","","","","","","","", 62 ,"","","","", 70 ,"","","", 726 ,"","","","","","","","","", 0
Taylor County , 721 ,"","","","", 150 ,"","","","","","","","","","", 43 ,"","","","", 93 ,"","","", 435 ,"","","","","","","","","", 0
Trempealeau County , 679 ,"","","","", 123 ,"","","","","","","","","","", 25 ,"","","","", 39 ,"","","", 492 ,"","","","","","","","","", 0
Vernon County ," 1,690 ","","","","", 371 ,"","","","","","","","","","", 55 ,"", 138 ,"",""," 1,125 ","","","","","","","","","","","","","", 1
"rGeggndreehim","aPlu varra","Todd telzel","threetsazabliE urm","cStateirng"
